address,choice,voting_power,timestamp,date_utc,author_ipfs_hash
0x928e320657Bd97f5D5523499D384f299E1C19047,1,1,1666869420,"Thu, 27 Oct 2022 11:17:00 GMT",bafkreiefji2cw2gvnkwfhhxfodf5oixeylxfpbnyv55sks726i7psxbb5y
0xaF9655eD0b27A2143bd4F099f9f2F1CF3c6DCC6F,2,1,1666798892,"Wed, 26 Oct 2022 15:41:32 GMT",bafkreidzq5d6kvtu7pipgigjr2ww5qzeil55225zvxxvx5j3mayupfi7aq
0xe3AaF356F3933916CBC3550d9337dA591c69f8d6,2,1,1666847306,"Thu, 27 Oct 2022 05:08:26 GMT",bafkreifwjgrmhf6navtvyazlbwil6ptxl5tnxwaxf6qmuchxaawrcoztsy
0xf65d529ae9A804563AD7CDB5278a47b5347c5b4e,1,1,1666869373,"Thu, 27 Oct 2022 11:16:13 GMT",bafkreihmfgpwlw4ojh46tsytpmcguhr4dyycobdlfrbszc3mnhoria7lye
0x1a55a5aAa3b462e8273BEE6bd813fea4744f651a,1,1,1666803325,"Wed, 26 Oct 2022 16:55:25 GMT",bafkreicr4ir63hwk3c4y23ci6cwzsr2oxsglafhrovianrjeg6ocln7wpe
0x8ffc47D0e3a92536D4C123f88666D018779b84Cc,1,1,1666869608,"Thu, 27 Oct 2022 11:20:08 GMT",bafkreibq4s6mffapoj4s6cpgv5b3t2mlzyzkcvzucyn22ae7ycv5li764e
0xB26c9b0360231f1AA1cC7336C8f046E2c89F13b4,1,1,1666869359,"Thu, 27 Oct 2022 11:15:59 GMT",bafkreibx4tpvult5g74ibtdnlmxvb2zyosowysebima6u3ryc2mzie7s2i
0xb951A5412c12C49e0c209f675aE32De2Bc9f66C4,1,1,1666869462,"Thu, 27 Oct 2022 11:17:42 GMT",bafkreiepomk7bt6yfan55sxzjymjrl7jhepu5awtoi3ipvkf2noxg46muu
0xBd5bbd91A1773B98077d65fB252D07AFa9C14746,1,1,1666864333,"Thu, 27 Oct 2022 09:52:13 GMT",bafkreifcji2himclimyv4m6xyrfjfxporkghp7r6kd6c525briqtvaeyoq
0xACf1222153e2B795Cc35c57C32edD8B8Eae86279,2,1,1666804417,"Wed, 26 Oct 2022 17:13:37 GMT",bafkreiavdrcbhmdfr5j52lgsrm7gddvl2dwe7ltwhomctx66rkgq3t6may
0x4c909056871208464852333727a4574f31A3c115,2,1,1666846742,"Thu, 27 Oct 2022 04:59:02 GMT",bafkreia36rty6pcv2lyhmusddd4t5cf7ifu7vpke6tosinlebgsws5twje
0xD9a5A044f5CD45eAbdE0a6EEDcC8F5e0571ec414,1,1,1666869620,"Thu, 27 Oct 2022 11:20:20 GMT",bafkreifqlca3yyfnuplk55ysrodgbdlcrctsjihppt7t2enbavzimpgnbe
0x83c313a675029a79055Fe466f42876B9Bb5B43d4,1,1,1666845994,"Thu, 27 Oct 2022 04:46:34 GMT",bafkreigb4ewgo5u5plyj4rcp3mwzyil47answelel3doxw6d3lhqr6zioa
0x1019236722517506732D92DAc0f7b9B4ed993D8d,1,1,1666800332,"Wed, 26 Oct 2022 16:05:32 GMT",bafkreihwvudhxri3hj7yn7jrnz4kqkbgflmda2s4u3aqxessjkg4kawkg4
0x35C8c83627328Bdc897eCBB7DbaF0A2A8C6eA973,1,1,1666869732,"Thu, 27 Oct 2022 11:22:12 GMT",bafkreibnq4zllo7eke3ifv2ecgbxcuxojndrresgf5wplk7tvesivt3w6y
0x6637b4b8fc4102135340509e294beeeBf4793FA7,1,1,1666825789,"Wed, 26 Oct 2022 23:09:49 GMT",bafkreihh2w5l2vbdaapynh2leyf53rpipuv6tqybi5fi3nvkvysnybog6u
0x7730F89f6129D00d125aBE02A750fdC781589895,1,1,1666869560,"Thu, 27 Oct 2022 11:19:20 GMT",bafkreid5u7rry2rtavb7u4vxsc46rs4zizddmawrni3m7fx7n7isaiezgm
0x07A36EC158D7c3bE88Ab5dcd4f399Ed25eC83b2f,1,1,1666869474,"Thu, 27 Oct 2022 11:17:54 GMT",bafkreigismwwpvznh3l3jhyj5tl4vhd6udd7se2ylfarnqfflum5ym4tz4
0x011b6bB60a15Dfb8cdE52D9dc84A432b2b289037,1,1,1666846342,"Thu, 27 Oct 2022 04:52:22 GMT",bafkreiagnqeq5kmsfjw2xo6kj7vwuz2kdaltv2j2fuzii3pkd3zkvq7zuq
0xF05Abab203216009F6E41920845eD940C947Acc1,1,1,1666710130,"Tue, 25 Oct 2022 15:02:10 GMT",bafkreicr3vaz6ronp6b7one67usqn2wm3zlfkfamtpducz5xzuprj6tvhu
0xaC1C5131f0a85EAFAA637A1aB342ED8e7771212D,1,1,1666963953,"Fri, 28 Oct 2022 13:32:33 GMT",bafkreifjfnazqmi436b2u3zmw22fl6ew6lirfpz56j7573asnajioxqeoa
0x7fbc69c7A4e14A5b85973f4DCEC3572584726A3A,3,1,1666804823,"Wed, 26 Oct 2022 17:20:23 GMT",bafkreic3nr5paysjpltdukapx6xnfxrfm3xojdo52kz77gv23vqtu7ddea
0xbb96d92C7F873259A1E25E0103B1b54562178eeA,1,1,1666803730,"Wed, 26 Oct 2022 17:02:10 GMT",bafkreiayhuh6rkl3grgnwq6pvkscdab77tynvgnfvjrth4dw24yego3k3q
0x632cA82ec657C0675569756Cbe8D83420b96069F,1,1,1666869692,"Thu, 27 Oct 2022 11:21:32 GMT",bafkreidxuym7eolbyj6u4xtauexsuoogaabtivgqsw2lszvsonx3losf3e
0x1701Bd1A2B0cD20529ba42DEe62d050646c0834F,1,1,1666869585,"Thu, 27 Oct 2022 11:19:45 GMT",bafkreihharksgfmwfec4ry7txo7ry4zxsybu6ipjg76p2qat67o2t4wt4q
0x8DFA288c28EAAd5b2d23168c05d0f42a6972c7c5,1,1,1666870238,"Thu, 27 Oct 2022 11:30:38 GMT",bafkreidwabt2b6kc7jhu2zbnk5as23loftuyirecmdvpe3pbskqxlppsza
0x4f3993A7e76E899bBDD3725965C4CFec2ef25973,1,1,1666870078,"Thu, 27 Oct 2022 11:27:58 GMT",bafkreibd3hq7wgnr5aujcoslz2p2snqegsif4uoaagclpjwmdyavxcijfm
0x92DB5C5a5477Edade95D6467c85D86c35cC5B007,1,1,1666916378,"Fri, 28 Oct 2022 00:19:38 GMT",bafkreievxlrevg63ognxreu72vvs4c36aojvs5rod5fnxoiew3songkmbe
0x5a8A9A3660b056E7b4F14292D8b528A1f219E42A,2,1,1666849857,"Thu, 27 Oct 2022 05:50:57 GMT",bafkreihsnymnbq2gx5agjwqaoit3fpb3op7vgc37laaw2cijfcffhjlwcq
0xD4145aEA34265a896fa433146Fe1745129fb5C4C,1,1,1666804087,"Wed, 26 Oct 2022 17:08:07 GMT",bafkreiddojx453s25b2hieut5tr6nvrej2jmmuz4airobitnzofchow3qy
0x92B1A1C7C7542e23a65e528D2D58A891C9Aa4759,3,1,1666807443,"Wed, 26 Oct 2022 18:04:03 GMT",bafkreiasmozljcajhrbzr3saet5ubpwvybshnfzell3excqivgtuumyds4
0x4e7902dc2268FdB5798a59110267d24167AfF164,1,1,1666837783,"Thu, 27 Oct 2022 02:29:43 GMT",bafkreifixa2iizmrqjyrolzal5mdtaoui762oktnmjgjdjqrxsvbwp6dxy
0xd2Be832911A252302bAc09e30Fc124A405E142DF,1,1,1666808540,"Wed, 26 Oct 2022 18:22:20 GMT",bafkreigmjgcs6dof2nsntyex5xhh4evohnwwvsupmlvgbd5wevllfeqxxe
0x9C1c550C14a8D5406203fC6f468663aA1593bE5f,2,1,1666813707,"Wed, 26 Oct 2022 19:48:27 GMT",bafkreia2gvktehxfj3jmkb5mcayfmoc3dbjxclips6kqj7qcmeuumaskki
0x8289432ACD5EB0214B1C2526A5EDB480Aa06A9ab,2,1,1666797876,"Wed, 26 Oct 2022 15:24:36 GMT",bafkreieinjnqtpoti25o3aibol3ikjbnnsuvnveldu5zla4cjayfo7dhk4
0x4e03Eb03F57014c2Ab1B0e270476Ed3760d0090B,1,1,1666803422,"Wed, 26 Oct 2022 16:57:02 GMT",bafkreigmzpvbhwdubbmmil23wcrizcpwi435zo7o3gkt5usf7vortkns3q
0xf99AaA1C7f529AAba863Ec38A6Bac83cA6990fBa,1,1,1666869596,"Thu, 27 Oct 2022 11:19:56 GMT",bafkreihsitjzk5xyofqdj5l25cff65sj3xadb7gy4exlhfrhw462dsz4nm
0x4676cABe9A50bcef3ae4377C65FA48c5Ee7837D5,2,1,1667253837,"Mon, 31 Oct 2022 22:03:57 GMT",bafkreihkb7fkcuvenvrsspb3qqm4iicobf4g4tgsiuec4mqrfxyhayitre
0x7Ea9b8ba0d889Ba42458f657Ed27244AD593dfe7,1,1,1666803593,"Wed, 26 Oct 2022 16:59:53 GMT",bafkreiejshutwacky7movc46mmlyz2pfvslr2m42qudgqq3vt7y2x6tht4
